latitude,longitude
-28.9855079650879,-91.5750885009766
-28.9855079650879,-91.5750885009766
-28.9855079650879,-91.5750885009766
-28.9855079650879,-91.5750885009766
-28.9855079650879,-91.3919383138419
-28.9855079650879,-91.7582386881113
-28.9855079650879,-91.3919383138419
-28.9855079650879,-91.7582386881113
-28.9855079650879,-91.2087881267071
-28.9855079650879,-91.9413888752461
-28.9855079650879,-91.2087881267071
-28.9855079650879,-91.9413888752461
-28.9855079650879,-91.0256379395724
-28.9855079650879,-92.1245390623808
-28.9855079650879,-91.0256379395724
-28.9855079650879,-92.1245390623808
-28.9855079650879,-90.8424877524376
-28.9855079650879,-92.3076892495156
-28.9855079650879,-90.8424877524376
-28.9855079650879,-92.3076892495156
-28.9855079650879,-90.6593375653029
-28.9855079650879,-92.4908394366503
-28.9855079650879,-90.6593375653029
-28.9855079650879,-92.4908394366503
-28.9855079650879,-90.4761873781681
-28.9855079650879,-92.6739896237851
-28.9855079650879,-90.4761873781681
-28.9855079650879,-92.6739896237851
-28.9855079650879,-90.2930371910334
-28.9855079650879,-92.8571398109198
-28.9855079650879,-90.2930371910334
-28.9855079650879,-92.8571398109198
-28.9855079650879,-90.1098870038987
-28.9855079650879,-93.0402899980545
-28.9855079650879,-90.1098870038987
-28.9855079650879,-93.0402899980545
-28.9855079650879,-89.9267368167639
-28.9855079650879,-93.2234401851893
-28.9855079650879,-89.9267368167639
-28.9855079650879,-93.2234401851893
-28.9855079650879,-89.7435866296292
-28.9855079650879,-93.406590372324
-28.9855079650879,-89.7435866296292
-28.9855079650879,-93.406590372324
-28.9855079650879,-89.5604364424944
-28.9855079650879,-93.5897405594588
-28.9855079650879,-89.5604364424944
-28.9855079650879,-93.5897405594588
-28.9855079650879,-89.3772862553597
-28.9855079650879,-93.7728907465935
-28.9855079650879,-89.3772862553597
-28.9855079650879,-93.7728907465935
-28.9855079650879,-89.194136068225
-28.9855079650879,-93.9560409337283
-28.9855079650879,-89.194136068225
-28.9855079650879,-93.9560409337283
-28.9855079650879,-89.0109858810902
-28.9855079650879,-94.139191120863
-28.9855079650879,-89.0109858810902
-28.9855079650879,-94.139191120863
-28.9855079650879,-88.8278356939555
-28.9855079650879,-94.3223413079977
-28.9855079650879,-88.8278356939555
-28.9855079650879,-94.3223413079977
-28.9855079650879,-88.6446855068207
-28.9855079650879,-94.5054914951325
-28.9855079650879,-88.6446855068207
-28.9855079650879,-94.5054914951325
-28.9855079650879,-88.461535319686
-28.9855079650879,-94.6886416822672
-28.9855079650879,-88.461535319686
-28.9855079650879,-94.6886416822672
-28.9855079650879,-88.2783851325512
-28.9855079650879,-94.871791869402
-28.9855079650879,-88.2783851325512
-28.9855079650879,-94.871791869402
-28.9855079650879,-88.0952349454165
-28.9855079650879,-95.0549420565367
-28.9855079650879,-88.0952349454165
-28.9855079650879,-95.0549420565367
-28.9855079650879,-87.9120847582818
-28.9855079650879,-95.2380922436715
-28.9855079650879,-87.9120847582818
-28.9855079650879,-95.2380922436715
-28.9855079650879,-87.728934571147
-28.9855079650879,-95.4212424308062
-28.9855079650879,-87.728934571147
-28.9855079650879,-95.4212424308062
-28.9855079650879,-87.5457843840123
-28.9855079650879,-95.6043926179409
-28.9855079650879,-87.5457843840123
-28.9855079650879,-95.6043926179409
-28.9855079650879,-87.3626341968775
-28.9855079650879,-95.7875428050757
-28.9855079650879,-87.3626341968775
-28.9855079650879,-95.7875428050757
-28.9855079650879,-87.1794840097428
-28.9855079650879,-95.9706929922104
-28.9855079650879,-87.1794840097428
-28.9855079650879,-95.9706929922104
-28.9855079650879,-86.996333822608
-28.9855079650879,-96.1538431793452
-28.9855079650879,-86.996333822608
-28.9855079650879,-96.1538431793452
-28.9855079650879,-86.8131836354733
-28.9855079650879,-96.3369933664799
-28.9855079650879,-86.8131836354733
-28.9855079650879,-96.3369933664799
-28.9855079650879,-86.6300334483386
-28.9855079650879,-96.5201435536147
-28.9855079650879,-86.6300334483386
-28.9855079650879,-96.5201435536147
-28.9855079650879,-86.4468832612038
-28.9855079650879,-96.7032937407494
-28.9855079650879,-86.4468832612038
-28.9855079650879,-96.7032937407494
-28.9855079650879,-86.2637330740691
-28.9855079650879,-96.8864439278841
-28.9855079650879,-86.2637330740691
-28.9855079650879,-96.8864439278841
-28.9855079650879,-86.0805828869343
-28.9855079650879,-97.0695941150189
-28.9855079650879,-86.0805828869343
-28.9855079650879,-97.0695941150189
-28.9855079650879,-85.8974326997996
-28.9855079650879,-97.2527443021536
-28.9855079650879,-85.8974326997996
-28.9855079650879,-97.2527443021536
-28.9855079650879,-85.7142825126648
-28.9855079650879,-97.4358944892884
-28.9855079650879,-85.7142825126648
-28.9855079650879,-97.4358944892884
-28.9855079650879,-85.5311323255301
-28.9855079650879,-97.6190446764231
-28.9855079650879,-85.5311323255301
-28.9855079650879,-97.6190446764231
-28.9855079650879,-85.3479821383954
-28.9855079650879,-97.8021948635579
-28.9855079650879,-85.3479821383954
-28.9855079650879,-97.8021948635579
-28.9855079650879,-85.1648319512606
-28.9855079650879,-97.9853450506926
-28.9855079650879,-85.1648319512606
-28.9855079650879,-97.9853450506926
-28.9855079650879,-84.9816817641259
-28.9855079650879,-98.1684952378273
-28.9855079650879,-84.9816817641259
-28.9855079650879,-98.1684952378273
-28.9855079650879,-84.7985315769911
-28.9855079650879,-98.3516454249621
-28.9855079650879,-84.7985315769911
-28.9855079650879,-98.3516454249621
-28.9855079650879,-84.6153813898564
-28.9855079650879,-98.5347956120968
-28.9855079650879,-84.6153813898564
-28.9855079650879,-98.5347956120968
-28.9855079650879,-84.4322312027216
-28.9855079650879,-98.7179457992316
-28.9855079650879,-84.4322312027216
-28.9855079650879,-98.7179457992316
-28.9855079650879,-84.2490810155869
-28.9855079650879,-98.9010959863663
-28.9855079650879,-84.2490810155869
-28.9855079650879,-98.9010959863663
-28.9855079650879,-84.0659308284522
-28.9855079650879,-99.0842461735011
-28.9855079650879,-84.0659308284522
-28.9855079650879,-99.0842461735011
-28.9855079650879,-83.8827806413174
-28.9855079650879,-99.2673963606358
-28.9855079650879,-83.8827806413174
-28.9855079650879,-99.2673963606358
-28.9855079650879,-83.6996304541827
-28.9855079650879,-99.4505465477705
-28.9855079650879,-83.6996304541827
-28.9855079650879,-99.4505465477705
-28.9855079650879,-83.5164802670479
-28.9855079650879,-99.6336967349053
-28.9855079650879,-83.5164802670479
-28.9855079650879,-99.6336967349053
-28.9855079650879,-83.3333300799132
-28.9855079650879,-99.81684692204
-28.9855079650879,-83.3333300799132
-28.9855079650879,-99.81684692204
-28.9855079650879,-83.1501798927784
-28.9855079650879,-99.9999971091748
-28.9855079650879,-83.1501798927784
-28.9855079650879,-99.9999971091748
-28.9855079650879,-82.9670297056437
-28.9855079650879,-100.18314729631
-28.9855079650879,-82.9670297056437
-28.9855079650879,-100.18314729631
-28.9855079650879,-82.783879518509
-28.9855079650879,-100.366297483444
-28.9855079650879,-82.783879518509
-28.9855079650879,-100.366297483444
-28.9855079650879,-82.6007293313742
-28.9855079650879,-100.549447670579
-28.9855079650879,-82.6007293313742
-28.9855079650879,-100.549447670579
-28.8405804336071,-91.5750885009766
-28.8405804336071,-91.5750885009766
-29.1304354965687,-91.5750885009766
-29.1304354965687,-91.5750885009766
-28.8405804336071,-91.3919383138419
-28.8405804336071,-91.7582386881113
-29.1304354965687,-91.3919383138419
-29.1304354965687,-91.7582386881113
-28.8405804336071,-91.2087881267071
-28.8405804336071,-91.9413888752461
-29.1304354965687,-91.2087881267071
-29.1304354965687,-91.9413888752461
-28.8405804336071,-91.0256379395724
-28.8405804336071,-92.1245390623808
-29.1304354965687,-91.0256379395724
-29.1304354965687,-92.1245390623808
-28.8405804336071,-90.8424877524376
-28.8405804336071,-92.3076892495156
-29.1304354965687,-90.8424877524376
-29.1304354965687,-92.3076892495156
-28.8405804336071,-90.6593375653029
-28.8405804336071,-92.4908394366503
-29.1304354965687,-90.6593375653029
-29.1304354965687,-92.4908394366503
-28.8405804336071,-90.4761873781681
-28.8405804336071,-92.6739896237851
-29.1304354965687,-90.4761873781681
-29.1304354965687,-92.6739896237851
-28.8405804336071,-90.2930371910334
-28.8405804336071,-92.8571398109198
-29.1304354965687,-90.2930371910334
-29.1304354965687,-92.8571398109198
-28.8405804336071,-90.1098870038987
-28.8405804336071,-93.0402899980545
-29.1304354965687,-90.1098870038987
-29.1304354965687,-93.0402899980545
-28.8405804336071,-89.9267368167639
-28.8405804336071,-93.2234401851893
-29.1304354965687,-89.9267368167639
-29.1304354965687,-93.2234401851893
-28.8405804336071,-89.7435866296292
-28.8405804336071,-93.406590372324
-29.1304354965687,-89.7435866296292
-29.1304354965687,-93.406590372324
-28.8405804336071,-89.5604364424944
-28.8405804336071,-93.5897405594588
-29.1304354965687,-89.5604364424944
-29.1304354965687,-93.5897405594588
-28.8405804336071,-89.3772862553597
-28.8405804336071,-93.7728907465935
-29.1304354965687,-89.3772862553597
-29.1304354965687,-93.7728907465935
-28.8405804336071,-89.194136068225
-28.8405804336071,-93.9560409337283
-29.1304354965687,-89.194136068225
-29.1304354965687,-93.9560409337283
-28.8405804336071,-89.0109858810902
-28.8405804336071,-94.139191120863
-29.1304354965687,-89.0109858810902
-29.1304354965687,-94.139191120863
-28.8405804336071,-88.8278356939555
-28.8405804336071,-94.3223413079977
-29.1304354965687,-88.8278356939555
-29.1304354965687,-94.3223413079977
-28.8405804336071,-88.6446855068207
-28.8405804336071,-94.5054914951325
-29.1304354965687,-88.6446855068207
-29.1304354965687,-94.5054914951325
-28.8405804336071,-88.461535319686
-28.8405804336071,-94.6886416822672
-29.1304354965687,-88.461535319686
-29.1304354965687,-94.6886416822672
-28.8405804336071,-88.2783851325512
-28.8405804336071,-94.871791869402
-29.1304354965687,-88.2783851325512
-29.1304354965687,-94.871791869402
-28.8405804336071,-88.0952349454165
-28.8405804336071,-95.0549420565367
-29.1304354965687,-88.0952349454165
-29.1304354965687,-95.0549420565367
-28.8405804336071,-87.9120847582818
-28.8405804336071,-95.2380922436715
-29.1304354965687,-87.9120847582818
-29.1304354965687,-95.2380922436715
-28.8405804336071,-87.728934571147
-28.8405804336071,-95.4212424308062
-29.1304354965687,-87.728934571147
-29.1304354965687,-95.4212424308062
-28.8405804336071,-87.5457843840123
-28.8405804336071,-95.6043926179409
-29.1304354965687,-87.5457843840123
-29.1304354965687,-95.6043926179409
-28.8405804336071,-87.3626341968775
-28.8405804336071,-95.7875428050757
-29.1304354965687,-87.3626341968775
-29.1304354965687,-95.7875428050757
-28.8405804336071,-87.1794840097428
-28.8405804336071,-95.9706929922104
-29.1304354965687,-87.1794840097428
-29.1304354965687,-95.9706929922104
-28.8405804336071,-86.996333822608
-28.8405804336071,-96.1538431793452
-29.1304354965687,-86.996333822608
-29.1304354965687,-96.1538431793452
-28.8405804336071,-86.8131836354733
-28.8405804336071,-96.3369933664799
-29.1304354965687,-86.8131836354733
-29.1304354965687,-96.3369933664799
-28.8405804336071,-86.6300334483386
-28.8405804336071,-96.5201435536147
-29.1304354965687,-86.6300334483386
-29.1304354965687,-96.5201435536147
-28.8405804336071,-86.4468832612038
-28.8405804336071,-96.7032937407494
-29.1304354965687,-86.4468832612038
-29.1304354965687,-96.7032937407494
-28.8405804336071,-86.2637330740691
-28.8405804336071,-96.8864439278841
-29.1304354965687,-86.2637330740691
